last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Voit, Luke,572228,288,12.7,38.9,112.6,89.7,95.4,82.8,470,184,410,118,12.4,41.0,37,12.8,7.3
Goldschmidt, Paul,502671,436,15.4,36.2,111.5,90.1,94.5,86.1,464,199,410,182,13.6,41.7,49,11.2,7.2
Núñez, Renato,600524,402,19.9,32.3,114.8,89.9,94.1,88.1,450,195,413,166,13.6,41.3,43,10.7,7.2
Marte, Ketel,606466,485,11.5,34.6,116.3,90,93.5,87.8,482,175,405,195,17.1,40.2,45,9.3,7.2
Mancini, Trey,641820,464,7.8,36.4,113.9,90.3,95.8,85.7,438,173,404,199,15.2,42.9,48,10.3,7.1
Muncy, Max,571970,342,14.5,39.2,110.1,89.8,94.4,84.7,464,197,404,147,14.3,43.0,41,12.0,7.0
Torres, Gleyber,650402,424,17.7,38.2,109.6,89.1,92.7,86.3,438,193,397,155,12.5,36.6,42,9.9,7.0
Rosario, Eddie,592696,482,16.8,33.2,108.6,89.2,93.9,85,433,190,392,172,14.1,35.7,41,8.5,6.9
Santana, Domingo,570267,291,11.3,39.9,109.5,89,94.7,82.2,425,180,399,119,11.9,40.9,35,12.0,6.9
Devers, Rafael,646240,531,10.4,33.0,115,92.5,96.5,89.9,458,178,403,252,17.4,47.5,48,9.0,6.8
Pederson, Joc,592626,341,15.6,31.7,113.7,91.2,96.1,88,454,181,399,146,15.5,42.8,35,10.3,6.8
Grandal, Yasmani,518735,379,14.2,37.5,111.3,90.7,95,87.5,442,189,400,156,14.9,41.2,43,11.3,6.8
Calhoun, Kole,594777,393,14.9,35.4,110.1,89.5,95.1,84,440,190,403,164,14.3,41.7,43,10.9,6.8
Swanson, Dansby,621020,365,14.4,36.7,108.4,89.9,93.1,86.8,424,188,402,154,15.1,42.2,37,10.1,6.8
Braun, Ryan,460075,361,7.3,33.0,111.7,91.5,95.6,89.2,443,164,404,161,16.7,44.6,34,9.4,6.7
Santana, Carlos,467793,467,11.7,29.1,112.8,91.8,93.5,91.9,426,173,396,209,19.0,44.8,45,9.6,6.6
Dozier, Hunter,641531,380,16.7,35.8,115.1,91.1,94.2,89.2,453,202,401,163,16.2,42.9,38,10.0,6.5
Puig, Yasiel,624577,426,13.8,30.0,114.4,90,94.1,88,455,184,410,164,13.9,38.5,39,9.2,6.4
Kepler, Max,596146,429,18.2,30.5,112.5,89.7,92.9,88.8,438,196,392,180,16.9,42.0,38,8.9,6.4
Blackmon, Charlie,453568,481,14.6,37.0,110.6,88.7,92.8,85,464,191,412,195,16.6,40.5,40,8.3,6.3
Semien, Marcus,543760,556,14.9,34.0,108.2,88.9,93.3,85.5,438,183,401,209,16.7,37.6,47,8.5,6.3
Realmuto, J.T.,592663,424,14.4,34.9,112.9,90.3,94.4,87.7,456,187,393,175,14.8,41.3,37,8.7,6.2
Altuve, Jose,514888,422,9.7,28.2,109.3,87.4,93.2,84,448,155,396,142,15.2,33.6,34,8.1,6.2
Davis, Khris,501981,337,13.1,31.8,109.9,90.2,95.2,85.4,432,185,396,133,12.4,39.5,33,9.8,6.2
Marte, Starling,516782,451,8.2,31.3,111.6,88.6,93.8,85.3,455,161,404,172,15.2,38.1,36,8.0,6.1
Santana, Danny,542454,329,13.5,38.0,113.1,91.4,94.7,88.2,448,192,406,144,13.3,43.8,31,9.4,6.1
Arenado, Nolan,571448,503,17.7,34.6,109.9,89.4,92.9,87.9,463,194,406,189,15.4,37.6,40,8.0,6.0
Bogaerts, Xander,593428,498,13.3,34.7,112.4,90.6,94,88.6,451,185,398,217,18.5,43.6,42,8.4,6.0
Anderson, Brian,605119,348,11.1,31.6,114.4,89.9,94.6,86.7,446,174,398,160,17.5,46.0,31,8.9,6.0
Vogelbach, Daniel,596129,315,17.1,39.0,113.1,88.8,93.6,83.8,448,204,398,120,13.9,38.1,33,10.5,5.9
Bryant, Kris,592178,400,19.2,36.0,111.4,87.6,92.3,83.3,445,192,403,137,11.4,34.3,37,9.3,5.8
Bradley Jr., Jackie,598265,344,9.3,30.5,112.1,90.1,95.1,87,478,166,395,148,14.0,43.0,33,9.6,5.8
Lindor, Francisco,596019,507,12.3,29.8,113.5,91,93.7,90.4,437,176,397,207,16.7,40.8,38,7.5,5.8
LeMahieu, DJ,518934,517,6.5,35.2,111.1,91.9,95.3,89.5,446,162,386,246,21.9,47.6,38,7.4,5.8
DeJong, Paul,657557,440,18.3,33.0,111.7,87,92.9,82,462,193,410,147,11.7,33.4,38,8.6,5.7
Belt, Brandon,474832,403,22.4,41.4,106.6,87.3,91.3,82.7,434,220,389,144,12.4,35.7,35,8.7,5.7
Turner, Justin,457759,396,17.8,38.9,107.7,90.3,93.1,88.1,433,204,401,170,17.4,42.9,31,7.8,5.6
Guerrero Jr., Vladimir,665489,375,6.7,30.9,118.9,89.4,93.2,88.2,451,159,418,145,15.6,38.7,29,7.7,5.6
Machado, Manny,592518,462,13,31.2,112.6,91.2,94.5,91.6,455,179,400,202,17.9,43.7,37,8.0,5.6
Grichuk, Randal,545341,425,16,31.5,112.6,89.3,93.9,87.1,469,180,401,170,14.0,40.0,35,8.2,5.6
Hoskins, Rhys,656555,405,24,31.1,111,89.7,94,86.3,429,210,388,157,12.4,38.8,39,9.6,5.5
Story, Trevor,596115,417,17.4,36.7,111.8,91,93.8,90.3,459,199,414,193,15.0,46.3,36,8.6,5.5
Adames, Willy,642715,382,10.8,36.1,110.9,88.5,93,84.4,462,168,396,136,12.4,35.6,32,8.4,5.5
McMahon, Ryan,641857,322,8.8,36.6,112.9,91.9,95.8,89.1,479,167,415,156,14.0,48.4,29,9.0,5.4
Benintendi, Andrew,643217,409,17.3,40.1,107.7,89.1,91.9,87.4,436,196,389,154,12.4,37.7,33,8.1,5.4
Seager, Corey,608369,395,14.3,35.2,109.7,88.8,93.3,84.1,441,191,403,151,15.5,38.2,29,7.3,5.4
